id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year,emotion_tag
1000,Breakeven,The Script,0.63,0.694,10,-4.501,1,0.0242,0.144,0,0.0835,0.49,94.034,261427,4,2008,chill
1001,Why Suffer??,Carlos Truly,0.593,0.458,0,-9.108,1,0.0774,0.495,0.0595,0.0878,0.731,168.082,200102,4,2022,
1002,Out Here On My Own,Various Artists,0.411,0.129,7,-15.07,1,0.0358,0.98,2.52E-05,0.085,0.222,136.215,193360,4,1980,
1003,home (feat. Kehina),ones,0.771,0.361,0,-15.171,0,0.0517,0.67,0.826,0.108,0.259,105.992,173615,4,2022,
1004,Way down We Go,KALEO,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,213707,4,2016,
1005,something special,joan,0.769,0.718,9,-4.039,1,0.0619,0.0656,0,0.265,0.757,92.969,157097,4,2021,
1006,Medusa,Hodge,0.811,0.601,6,-7.571,1,0.0604,0.00721,0.597,0.0673,0.71,138.017,297851,4,2021,
1007,Common (with Big Sean),Quinn XCII,0.785,0.563,1,-5.864,1,0.0405,0.194,0,0.28,0.691,94.046,159322,4,2022,
1008,Stressed Out,Twenty One Pilots,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977,202333,4,2015,sad
1009,Your Lovin' (feat. MØ & Yxng Bane),Steel Banglez,0.502,0.873,0,-5.175,0,0.241,0.0712,0,0.0702,0.384,81.282,203973,4,2018,
1010,Deep End,Birdy,0.455,0.296,2,-8.513,1,0.0399,0.761,0,0.0783,0.31,171.744,208840,4,2016,
1011,Hailey,Justin Bieber,0.462,0.745,0,-6.588,0,0.0699,0.0367,0,0.0795,0.254,100.042,193355,4,2021,
1012,The One That Got Away,Katy Perry,0.687,0.792,1,-4.023,0,0.0353,0.000802,0,0.2,0.864,133.962,227333,4,2012,happy
1013,no worriezz,uniqlesse,0.668,0.648,1,-6.316,1,0.107,0.592,0.837,0.0889,0.411,169.911,150059,4,2022,
1014,Watching Him Fade Away,Mac DeMarco,0.74,0.072,3,-17.984,1,0.0713,0.981,0.00698,0.111,0.297,139.081,143080,4,2017,
1015,Darkseid,Grimes,0.448,0.713,7,-7.34,1,0.0743,0.00974,0.000832,0.113,0.331,179.931,224110,4,2020,
1016,Grow A Pear,Kesha,0.863,0.667,0,-3.891,1,0.0508,0.0154,0.000341,0.125,0.892,120.011,208867,4,2010,
1017,what about your boyfriend? - Slowed + Reverb Version,Meric,0.79,0.536,5,-8.488,0,0.0685,0.268,0.208,0.107,0.117,111.127,201923,4,2022,
1018,Armed & Dangerous,King Von,0.696,0.592,1,-6.281,1,0.319,0.152,0,0.127,0.232,188.051,122680,4,2020,angry
1019,Recovery,Justin Bieber,0.509,0.522,6,-4.648,0,0.189,0.013,0,0.329,0.229,132.087,182373,4,2014,chill
1020,Maria También,Khruangbin,0.746,0.632,6,-7.32,0,0.0462,0.00252,0.859,0.542,0.858,103.612,190999,4,2018,
1021,Bohemian Like You,Various Artists,0.578,0.936,9,-5.761,1,0.0364,0.00305,0.687,0.47,0.659,131.268,208907,4,2008,happy
1022,10 Freaky Girls (with 21 Savage),Metro Boomin,0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,208293,4,2018,
1023,Hold On,Deepest,0.86,0.645,9,-6.963,1,0.0622,0.485,8.22E-05,0.188,0.468,114.989,171707,4,2023,
1024,The Modern Western World,Vansire,0.564,0.472,4,-10.59,1,0.03,0.89,0.207,0.101,0.594,111.029,141480,4,2022,
1025,T.I.N.A.,Enter Shikari,0.534,0.93,6,-6.044,1,0.0486,0.00372,0.00625,0.154,0.541,141.014,185056,4,2020,
1026,Hennessy & Sailor Moon,Yung Lean,0.676,0.486,0,-9.729,1,0.0301,0.119,0.136,0.0937,0.225,120.999,254440,4,2016,
1027,The Careforce,Yoga at the Disco,0.619,0.317,10,-16.949,1,0.0643,0.544,0.926,0.131,0.131,90.012,136667,4,2022,
1028,Feels,Wh0,0.722,0.954,8,-4.169,1,0.0764,0.0054,0.942,0.651,0.845,124.983,237600,4,2022,
1029,Kreuzberg Raver,Kamakaze,0.566,0.627,5,-9.068,0,0.269,0.723,2.76E-06,0.114,0.641,98.201,161000,3,2020,
1030,Together,Gaya Police,0.666,0.357,4,-12.012,0,0.03,0.0405,0.898,0.123,0.743,90.055,136000,4,2023,
1031,FYB,Poppy,0.303,0.936,4,-5.162,0,0.395,0.00737,2.58E-05,0.358,0.291,104.977,106332,3,2022,
1032,Move on Up - Single Edit,Curtis Mayfield,0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,165790,4,1970,
1033,Hated,Beartooth,0.458,0.99,8,-3.717,1,0.183,0.000285,0.000893,0.454,0.46,166.904,211430,4,2016,angry
1034,Real Men,Mitski,0.761,0.413,9,-8.287,0,0.0333,0.179,0,0.087,0.718,108.96,161800,3,2012,
1035,Bad Intentions,INK,0.867,0.659,11,-12.483,0,0.494,0.427,0,0.127,0.652,140.219,164807,4,2019,angry
1036,Middle Of The Night,Dom Livez,0.299,0.904,4,-4.891,0,0.15,0.000247,0.000235,0.798,0.272,180.045,154333,3,2022,
1037,Space Loneliness,Myríad,0.538,0.0818,0,-16.136,0,0.0758,0.925,0.916,0.111,0.148,69.988,120000,4,2022,
